countriesAndTerritories,continentExp,popData2019,cases,deaths,handwashingFacilitiesHome
Timor_Leste,Asia,1293120,31,0,28
Georgia,Europe,3996762,191063,1839,92
Burundi,Africa,11530577,729,1,6
Armenia,Europe,2957728,148682,2503,95
Lesotho,Africa,2125267,2250,44,6
Haiti,America,11263079,9565,234,22
Bolivia,America,11513102,147150,9018,27
Dominican_Republic,America,10738957,154692,2361,47
Montenegro,Europe,622182,41426,582,99
Colombia,America,50339443,1425774,39053,68
Solomon_Islands,Oceania,669821,17,0,28
North_Macedonia,Europe,2077132,73638,2121,100
Albania,Europe,2862427,48530,1003,97
Suriname,America,581363,5353,117,72
Afghanistan,Asia,38041757,49273,1971,38
Laos,Asia,7169456,41,0,56
Paraguay,America,7044639,93582,1953,80
Andorra,Europe,76177,7338,79,97
Austria,Europe,8858775,320036,4400,97
Costa_Rica,America,5047561,150947,1895,86
Ethiopia,Africa,112078727,116769,1806,8
Ecuador,America,17373657,214362,9958,87
Bangladesh,Asia,163046173,490533,7052,58
Belize,America,390351,9295,195,90
Bermuda,America,62508,431,9,92
Azerbaijan,Europe,10047719,175874,1922,97
Malawi,Africa,18628749,6066,187,8
Cuba,America,11333484,9423,137,92
Anguilla,America,14872,10,0,69
Nepal,Asia,28608715,248423,1698,62
Belarus,Europe,9452409,160295,1263,97
Burkina_Faso,Africa,20321383,4030,71,9
Benin,Africa,11801151,3299,44,12
India,Asia,1366417756,9884100,143355,68
Sudan,Africa,42813237,21386,1347,13
Antigua_and_Barbuda,America,97115,148,4,69
Mali,Africa,19658023,5814,194,17
Argentina,America,44780675,1498160,40766,69
Togo,Africa,8082359,3251,66,17
Gambia,Africa,2347696,3782,123,18
Aruba,America,106310,5049,46,69
Tajikistan,Asia,9321023,12704,88,73
Bahamas,America,389486,7674,163,69
Guinea_Bissau,Africa,1920917,2444,44,18
Zambia,Africa,17861034,18274,367,18
Barbados,America,287021,292,7,69
Democratic_Republic_of_the_Congo,Africa,86790568,14512,355,19
Belgium,Europe,11455519,608001,17951,97
Bonaire,America,25983,173,3,69
Brazil,America,211049519,6901952,181402,69
Bosnia_and_Herzegovina,Europe,3300998,101117,3336,97
Bulgaria,Europe,7000039,179449,5688,97
Guinea,Africa,12771246,13420,79,20
Croatia,Europe,4076246,175886,2640,97
Sierra_Leone,Africa,7813207,2440,75,21
British_Virgin_Islands,America,30033,76,1,69
Canada,America,37411038,460743,13431,69
Cayman_Islands,America,64948,298,2,69
Central_African_Republic,Africa,4745179,4936,63,22
Chile,America,18952035,571919,15886,69
Cote_dIvoire,Africa,25716554,21680,133,22
Senegal,Africa,16296362,17075,349,22
Cyprus,Europe,875899,15101,78,97
Niger,Africa,23310719,2258,80,23
Uganda,Africa,44269587,27648,221,23
Cura̤ao,America,163423,3624,11,69
Czechia,Europe,10649800,580883,9613,97
Papua_New_Guinea,Oceania,8776119,725,8,30
Denmark,Europe,5806081,109758,941,97
Estonia,Europe,1324820,18055,149,97
Marshall_Islands,Oceania,58791,4,0,85
Eswatini,Africa,1148133,6768,127,24
Chad,Africa,15946882,1770,102,25
Faroe_Islands,Europe,48677,528,0,97
Finland,Europe,5517919,30810,453,97
Somalia,Africa,15442906,4579,121,25
France,Europe,67012883,2377618,57804,97
